WORD,PREDICTION
tracked,0
asteroids,1
persisting,1
pioneer,0
keep,0
catering,1
investigating,1
households,1
inclusive,1
luxurious,1
infection,1
gods,0
talk,0
capital,0
bopped,0
hawk,0
sectarian,1
decolonized,1
add,0
vice,0
stigma,0
lobby,0
framed,0
greater,0
erode,0
festival,1
drugs,0
disorder,0
uncommon,1
dams,0
rounds,0
inadequate,1
librarian,1
firing,0
rice,0
fingers,0
adorable,1
shopkeepers,1
singer,0
penetrate,1
architect,1
mothers,0
protons,0
universally,1
layoffs,0
rat,0
pioneer,0
label,0
spooked,0
struggled,1
asylum,0
learned,0
accomplishing,1
aerospace,1
rewrite,0
asphalt,0
ethanol,0
terrified,1
barricades,1
fun,0
vanished,1
bail,0
longest-tenured,1
casualty,1
recording,1
transition,1
tolerate,1
box,0
wage,0
aerial,0
passed,0
donated,0
readjustment,1
tables,0
reveals,0
word,0
foes,0
band-aid,1
payoffs,0
take,0
cache,0
generational,1
spills,0
written,0
illicit,0
sentence,0
often,0
dolls,0
constituents,1
reliance,1
perennial,1
ruler,0
unmistakable,1
tourists,1
imposed,0
hoots,0
instead,0
fellow,0
meal,0
reminder,1
master,0
package,0
meters,0
dragging,1
ergonomic,1
terrain,0
province,0
fur,0
dominance,1
existed,0
tooth,0
icy,0
checked,0
asks,0
mind-blowing,1
list,0
talking,0
tackle,0
bracelet,1
secondhand,1
reel-to-reel,1
land,0
husband,0
crashed,0
weapon,0
artwork,0
hunter,0
peacefully,1
acceptance,1
everywhere,1
river,0
clutching,1
fell,0
juvenile,1
beseeched,1
join,0
mobile,0
outsized,1
overfishing,1
agents,0
agriculture,1
suggests,0
skulls,0
status,0
losing,0
flight,0
mellow,0
sickly,0
humble-looking,1
movie,0
whizzing,1
distracted,1
polish,0
ecosolutions,1
exactly,0
predecessor,1
region,0
connect,0
yielding,1
frightening,1
futile,0
adults,0
affirmatively,1
waste,0
faults,0
blaze,0
pious,0
funnels,0
67p,0
disobedience,1
grades,0
sell,0
pan-seared,1
crammed,0
thousands,1
fats,0
debt,0
magadi,0
protections,1
immemorial,1
waging,0
bugs,0
outdoor,0
luck,0
genome,0
grass,0
earned,0
cheese,0
arm,0
toy,0
salutes,0
headed,0
nuanced,0
entertainment,1
insider,0
moves,0
possibility,1
migrant,0
tennis,0
fights,0
power,0
campylobacter,1
even,0
toughened,1
worldly,0
leaves,0
dry,0
student-led,1
defense,0
period,0
arena,0
growing,0
schoolchildren,1
overturn,1
finished,0
associated,0
far,0
physical,0
after-school,1
sprinkle,1
kicking,0
incident,0
widespread,1
packs,0
ochre,0
whiteboard,1
filled,0
vent,0
justices,1
paper,0
spectacle,1
armed,0
basic,0
limb,0
expelling,1
reclined,1
bylaws,0
instruction,1
business,0
spinning,1
types,0
schools,0
sharply,0
scores,0
surveys,0
kitchen,0
organizers,1
serving,0
emphasize,1
thought,0
motivate,1
spread,0
defiance,1
puts,0
modeled,0
horizon,0
impact,0
displayed,1
father-daughter,1
wolves,0
across,0
poaching,1
ground-penetrating,1
polling,0
ticking,0
toys,0
door,0
broke,0
infinite,0
imagining,1
approve,0
plows,0
also,0
empty,0
devote,0
lawmakers,1
dominated,1
intellectual,1
steam-powered,1
officials,1
airlines,1
called,0
black-and-white,1
foundation,1
fat,0
kill,0
hell,0
require,0
gripes,0
ordered,0
limit,0
misreporting,1
hemispheres,1
declaring,1
interior,0
affects,0
landscaping,1
twice,0
nearby,0
statement,0
lately,0
broader,0
steeply,0
armor,0
board,0
shelter,0
wound,0
wearing,0
east,0
tax,0
mapped,0
codified,1
vast,0
prominently,1
scientific,1
athletics,1
undone,0
fears,0
professional,1
provision,1
appeals,0
installment,1
stimulate,1
esports,0
notion,0
elite,0
unanimously,1
associate,1
predominantly,1
emaciated,1
height,0
organizations,1
deputy,0
bedeviled,1
maps,0
white,0
revolution,1
offbeat,0
appropriate,1
outlawing,1
places,0
relationship,1
relief,0
prosthetics,1
try,0
grade,0
largest,0
soccer,0
political,0
lice-infested,1
voting,0
commuter,1
defiant,0
alarming,1
invasive,1
defensive,1
trade-in,1
hulks,0
resolved,0
realize,0
charismatic,1
lute-like,1
electrical,1
notions,0
initiative,1
shocked,0
investment,1
attained,1
stocks,0
loves,0
write,0
cells,0
talent,0
occurrence,1
national,0
diabetes,1
clothes,0
wars,0
traffic,0
offer,0
futility,1
takeout,0
terror,0
museum,0
rocks,0
cellphone,1
titans,0
louse,0
consequence,1
archaeological,1
antidote,1
automatically,1
bordering,1
party,0
infirmity,1
dumb,0
variety,0
likely,0
displacement,1
camper,0
votes,0
flinging,1
ball,0
excluded,1
diameter,0
enjoy,0
poses,0
compact,0
